id,,regimen,sex,period,ALBUMIN,ALKPHOSPH,SGPTALT,SGOTAST,TOTBILI,BUN,CALCIUM blood,CREAT blood,GAMMAGT,Glycemia,PHOSPH blood,TOTPROT,DIRBILI,SODIUM Sang,POTASSIUM Sang,CHLORIDE Sang,GLOBULINE,AGRATIO,GRAVITY,GLUCOSE,BILI,KETONE,BLOOD,PH,PROT,UROBILI,PTSEC,APTTSEC,WBC,RBC,HGB,HCT,MCV,MCH,MCHC,PLT,ABSNEUT,ABSLYMPH,ABSMONO,ABSEOS,ABSBASO,ABSLUC,NEUT,LYMPH,MONO,EOS,BASO,LUC,CALCIUM,CREAT,UPROT,PHOSPH,SODIUM,POTASSIUM,CHLORIDE,NAKRATIO,CREATCLEARANCE,VOLTOTAL,TERMINALBODYWEIGHT,ADRENAL,HEART,LIVER,TESTIS,BRAIN,KIDNEY,SPLEEN,OVARY
11,11,reference2,M,1,4.2,155,47,107,0.2,12.2,9.9,0.3,0,104,7.6,6.5,0.1,145,5.1,97,2.3,1.83,1.042,0,0,15,0,6.5,100,0.2,NA,NA,12.96,8.5,15.9,46,54.2,18.7,34.5,1039,1.47,10.61,0.31,0.3,0.05,0.22,11.3,81.9,2.4,2.3,0.4,1.7,5.3,141.4,177,211.4,20,229,80,0.09,0.57,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,11,reference2,M,2,4.5,90,50,90,0.2,16.3,12.2,0.6,0.001,233,10.9,6.9,0.1,145,10.5,100,2.4,1.87,1.033,0,0,15,0,7,30,0.2,12,15.6,8.84,9.2,15.9,47.4,51.5,17.3,33.6,1177,1.28,6.86,0.33,0.2,0.04,0.13,14.4,77.6,3.7,2.3,0.4,1.5,3.8,124.7,90,96.8,26,170.5,54,0.15,0.21,8,574,0.06,1.993,16.698,3.415,2.272,4.027,0.786,NA
12,12,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553.5,0.084,2.013,16.468,3.601,2.342,4.348,1.173,NA
13,13,reference2,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504.7,0.067,1.672,15.021,3.62,2.34,4.003,0.818,NA
14,14,reference2,M,1,4.4,120,40,101,0.2,13,10.2,0.3,1,117,7.4,6.6,0.1,146,5,98,2.2,2,1.052,0,0,15,0,7,100,0.2,NA,NA,13.6,8.34,15.8,45.4,54.4,19,34.9,790,1.59,11.4,0.25,0.15,0.06,0.16,11.7,83.8,1.8,1.1,0.4,1.2,4.2,176.1,189,245.8,61,259,92,0.24,0.57,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,14,reference2,M,2,4.6,79,57,91,0.21,14.6,12.4,0.5,0.001,208,10.6,6.9,0.1,146,10,100,2.3,2,1.039,0,0,15,0,6.5,100,0.2,11.5,12.4,7.93,8.8,15.1,45.3,51.5,17.2,33.4,787,1.87,5.53,0.2,0.14,0.06,0.13,23.6,69.7,2.5,1.7,0.7,1.7,4.9,147.1,127,174.1,42,172,63,0.24,0.28,7,529,0.073,1.675,14.985,3.902,2.177,3.997,0.89,NA
15,15,reference2,M,1,4.3,203,51,139,0.1,15,10.4,0.2,0,110,7.9,6.5,0.01,146,5,97,2.2,1.95,1.03,0,0,15,3,7,30,0.2,NA,NA,11.8,9.1,16.7,47.1,51.7,18.4,35.5,886,1.69,8.91,0.62,0.19,0.07,0.31,14.3,75.5,5.3,1.6,0.6,2.6,2.6,96.5,78,168.4,40,142.5,50,0.28,1.07,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,15,reference2,M,2,4.4,107,55,92,0.21,17.8,10.8,0.5,0.001,184,9,6.9,0.001,150,6.6,104,2.5,1.76,1.045,0,0,15,0,6,30,0.2,12,16.2,10.12,9.22,15.6,45,48.7,16.9,34.7,854,1.99,7.2,0.46,0.2,0.09,0.19,19.6,71.2,4.5,2,0.9,1.9,7.9,182.7,118,170.6,29,207,56,0.14,0.27,6,568.8,0.081,1.72,14.238,3.336,2.428,4.211,0.927,NA
16,16,reference2,M,1,4.4,199,48,105,0.1,16.3,10,0.3,1,113,8.1,6.4,0.1,148,5.1,100,2,2.2,1.058,0,0,0.01,0,6.5,100,0.2,NA,NA,11.79,8.52,16.3,46.1,54.1,19.1,35.3,748,1.49,9.35,0.47,0.14,0.04,0.3,12.6,79.3,4,1.2,0.3,2.6,4.8,207.2,160,283.1,43,312.5,75,0.14,0.56,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,16,reference2,M,2,4.3,108,49,85,0.21,17.6,11.4,0.6,0.001,217,9.1,6.6,0.001,148,7,104,2.3,1.87,1.05,0,0,15,1,7,100,1,11.1,15.3,6.47,7.88,14.2,41.6,52.8,18,34.1,841,1.29,4.5,0.33,0.11,0.08,0.16,19.9,69.5,5.2,1.8,1.2,2.5,4.2,227.4,122,198.8,49,230.5,67,0.21,0.24,5,578.9,0.064,1.913,16.293,3.27,2.085,4.339,0.974,NA
